기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 부산
기간 : 20170101~20200414

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2017-04-30,159,19,14.9,23.2
2017-05-01,159,18.1,14.2,22.9
2017-05-02,159,16.2,13,19.9
2017-05-03,159,17.4,12.8,23.3
2017-05-04,159,19,14.9,22.5
2017-05-05,159,19.1,17,23.6
2017-05-06,159,19.9,17.1,25
2017-05-07,159,19.9,13.9,26.6
2017-05-08,159,19.9,17,25.8
2017-05-09,159,15.3,13.8,20.3
2017-05-10,159,17.5,14.4,22.2
2017-05-11,159,18.3,15.5,23.9
2017-05-12,159,16.9,15.7,18.4
2017-05-13,159,18.1,14.3,20.9
2017-05-14,159,19,14.2,23.2
2017-05-15,159,17.7,13.5,21
2017-05-16,159,17.7,14.5,21.4
2017-05-17,159,17.7,15.2,21.6
2017-05-18,159,19.2,14.7,25.9
2017-05-19,159,22.4,16.5,27.9
2017-05-20,159,21.9,18.1,26.3
2017-05-21,159,21,17,25.8
2017-05-22,159,20.4,16,25.8
2017-05-23,159,19.4,15.1,24.1
2017-05-24,159,19.4,17.7,23.1
2017-05-25,159,21.2,16.3,28.2
2017-05-26,159,17.1,13.2,21.1
2017-05-27,159,17.8,13.5,22.7
2017-05-28,159,19.7,15.7,24.1
2017-05-29,159,21,17.8,26.1
2017-05-30,159,21.7,17.6,25.9
2017-05-31,159,20.4,17.3,25.4
2017-06-01,159,21.3,18.3,24.8
2017-06-02,159,18.2,15.4,22.5
2017-06-03,159,19.7,16.2,25.4
2017-06-04,159,20,15.8,25.2
2017-06-05,159,19.7,17,23.5
2017-06-06,159,18.7,16.8,21.7
2017-06-07,159,19.2,17.4,22.9
2017-06-08,159,20.4,16.5,27.1
2017-06-09,159,22.5,18.1,27.3
2017-06-10,159,21.1,19.3,24.2
2017-06-11,159,20.4,17.8,24.3
2017-06-12,159,18.8,16.5,22.4
2017-06-13,159,18.7,15.9,21.2
2017-06-14,159,20.9,16.9,24.1
2017-06-15,159,23.2,19.2,30.4
2017-06-16,159,20.8,18.2,24.5
2017-06-17,159,20.3,17.4,23.3
2017-06-18,159,21.6,17.9,24.7
2017-06-19,159,22.3,19,26
2017-06-20,159,21.4,18.4,24.9
2017-06-21,159,22,18.6,26.5
2017-06-22,159,22.5,19.2,27.4
2017-06-23,159,23.4,20.3,28.3
2017-06-24,159,23,20.4,26.5
2017-06-25,159,23,21.4,25.3
2017-06-26,159,22.8,21.3,25.1
2017-06-27,159,22.8,20.7,25.8
2017-06-28,159,23.6,20.6,27.8
2017-06-29,159,21.9,20.7,23.9
2017-06-30,159,24.2,20.9,27.6
2017-07-01,159,25.3,23.1,28.4
2017-07-02,159,24.8,23.2,26.6
2017-07-03,159,25.3,23.9,27.4
2017-07-04,159,24,21.9,27.9
2017-07-05,159,23.6,21.2,26.4
2017-07-06,159,24.1,21.9,27
2017-07-07,159,24.8,22.2,26.5
2017-07-08,159,25.5,23.9,28.1
2017-07-09,159,25.6,23.9,28.8
2017-07-10,159,24.9,23.9,26.4
2017-07-11,159,24.6,22.7,27
2017-07-12,159,26.2,22.9,30.4
2017-07-13,159,25.3,22.4,28.4
2017-07-14,159,26.6,23.3,29.6
2017-07-15,159,26.9,24.8,30.1
2017-07-16,159,27.6,24.9,30.9
2017-07-17,159,27.2,24.4,30.8
2017-07-18,159,26.2,23.6,29.5
2017-07-19,159,27.5,25.3,31.2
2017-07-20,159,26.6,24,29.5
2017-07-21,159,28.3,24.2,30.8
2017-07-22,159,27.9,24.4,32.7
2017-07-23,159,26.9,24.4,30.8
2017-07-24,159,27.4,24.2,31.1
2017-07-25,159,25.8,24,29.4
2017-07-26,159,26.2,23,30.6
2017-07-27,159,25.5,22,29.5
2017-07-28,159,26.9,23,29.6
2017-07-29,159,25.9,24.6,29.2
2017-07-30,159,26.8,24.2,30.1
2017-07-31,159,27.4,25.1,30.6
2017-08-01,159,27.4,24.8,31.5
2017-08-02,159,26.7,24.3,30.8
2017-08-03,159,27.9,23.9,31.8
2017-08-04,159,29.8,25.9,34
2017-08-05,159,30.7,27.3,35.3
2017-08-06,159,31.7,27.6,36.2
2017-08-07,159,29.8,27.3,35
2017-08-08,159,29.8,26.3,34.2
2017-08-09,159,27.3,25.8,29.1
2017-08-10,159,28.3,25.9,33.1
2017-08-11,159,26.9,24.7,30.7
2017-08-12,159,26.1,23.2,30.7
2017-08-13,159,25.3,22.9,29.3
2017-08-14,159,23.6,21.9,24.7
2017-08-15,159,25,21.9,27.7
2017-08-16,159,25.9,24.6,27.8
2017-08-17,159,25.9,23.7,28.7
2017-08-18,159,25.9,24.1,29.2
2017-08-19,159,26.2,24.1,28.9
2017-08-20,159,26.7,24.5,29.1
2017-08-21,159,27.5,26.2,29.5
2017-08-22,159,26.7,25.5,29.2
2017-08-23,159,28.7,26.1,31.7
2017-08-24,159,29.2,27.3,32.9
2017-08-25,159,27.1,25.3,29.7
2017-08-26,159,26,23.3,30.1
2017-08-27,159,25.2,21.8,29.4
2017-08-28,159,26.1,21.7,29.5
2017-08-29,159,25.8,22.6,28.9
2017-08-30,159,23.8,21.1,28.8
2017-08-31,159,23.5,18.7,28.5
2017-09-01,159,22.8,19.9,28.5
2017-09-02,159,22.6,19,27.5
2017-09-03,159,23.2,19.4,27.8
2017-09-04,159,23.5,21.3,28
2017-09-05,159,23.8,21.9,26.4
2017-09-06,159,22.8,21.6,25.6
2017-09-07,159,21.1,18.7,24.5
2017-09-08,159,24.1,20,28.9
2017-09-09,159,24.6,20.8,29.7
2017-09-10,159,24.6,21.5,28.2
2017-09-11,159,22.9,21.3,25.7
2017-09-12,159,23.9,20.9,28.6
2017-09-13,159,23.2,19.6,27.8
2017-09-14,159,22.9,19.3,27.3
2017-09-15,159,22.2,21.2,24.3
2017-09-16,159,22.3,21,24.4
2017-09-17,159,21.7,19.9,24.2
2017-09-18,159,22.8,18.3,26.8
2017-09-19,159,23.3,19.2,26.7
2017-09-20,159,22.7,19.3,26
2017-09-21,159,21.5,18,25.6
2017-09-22,159,22.2,19.2,26.6
2017-09-23,159,22.1,19.3,26.5
2017-09-24,159,22.7,18.5,27.6
2017-09-25,159,23.9,20.8,28.1
2017-09-26,159,23.2,20.6,27
2017-09-27,159,20.4,19.1,22
2017-09-28,159,21.2,18.2,25.3
2017-09-29,159,18.4,14.5,23.3
2017-09-30,159,20.2,15.2,25.6
2017-10-01,159,20.4,16.7,23.2
2017-10-02,159,21.6,18.9,25.7
2017-10-03,159,21,18.8,25.3
2017-10-04,159,19.2,17.4,23.5
2017-10-05,159,18.6,16.8,22.4
2017-10-06,159,18.5,16.4,21.4
2017-10-07,159,21.2,18.3,25.4
2017-10-08,159,22,18.2,26.4
2017-10-09,159,22.5,19.2,26.9
2017-10-10,159,23.4,20.1,28.7
2017-10-11,159,22.6,20.3,26.2
2017-10-12,159,16.7,13.6,20.3
2017-10-13,159,16.9,12.7,22
2017-10-14,159,17.2,13.8,22
2017-10-15,159,16,13.7,17.3
2017-10-16,159,17.5,16.2,20.2
2017-10-17,159,17.9,15.9,21.8
2017-10-18,159,17.4,16.4,18.7
2017-10-19,159,17.8,15.6,22.2
2017-10-20,159,18.3,15.6,22.8
2017-10-21,159,18.4,15.3,22.6
2017-10-22,159,18.3,15.6,21.9
2017-10-23,159,15.3,13.3,20.1
2017-10-24,159,14.2,11.6,19.9
2017-10-25,159,15,11,20.8
2017-10-26,159,16.1,11.3,21
2017-10-27,159,17.8,13.4,22.7
2017-10-28,159,18.1,15.8,20.7
2017-10-29,159,17.4,10.4,23.7
2017-10-30,159,11.3,7.3,17.2
2017-10-31,159,13.6,7.6,19.4
2017-11-01,159,14.8,10.1,21.6
2017-11-02,159,16.4,12.2,21.5
2017-11-03,159,17.1,12.5,23.2
2017-11-04,159,11,7,16.3
2017-11-05,159,11.9,6.9,18.1
2017-11-06,159,13.8,8.4,19.4
2017-11-07,159,16.1,11.8,19.7
2017-11-08,159,18.1,13.9,23.6
2017-11-09,159,14.8,10.8,20.3
2017-11-10,159,16.4,11.5,21.1
2017-11-11,159,10,6.5,15.2
2017-11-12,159,11.7,7.3,17.7
2017-11-13,159,13.3,9,18.2
2017-11-14,159,13.7,8.7,18.4
2017-11-15,159,9.2,5.2,14.8
2017-11-16,159,7.1,3.2,12.3
2017-11-17,159,10.4,5.3,15.7
2017-11-18,159,7,0.9,11.6
2017-11-19,159,3.3,-1,7.3
2017-11-20,159,6,2.4,11.1
2017-11-21,159,8.5,4.3,12.8
2017-11-22,159,9.3,6.5,12.7
2017-11-23,159,5.6,2.7,10.4
2017-11-24,159,5.8,1.9,11
2017-11-25,159,7.2,1.6,11.6
2017-11-26,159,12.2,8,16.8
2017-11-27,159,12.3,7.7,17.3
2017-11-28,159,14.1,10.7,19.8
2017-11-29,159,12.8,10.4,17.2
2017-11-30,159,7.3,1.7,11.1
2017-12-01,159,2.4,-1.3,7.9
2017-12-02,159,5,0.4,10.7
2017-12-03,159,7.9,3,14.5
2017-12-04,159,7,-0.5,11.6
2017-12-05,159,0.4,-2.4,4.8
2017-12-06,159,3.8,-1.6,9.8
2017-12-07,159,6.9,3.4,11.6
2017-12-08,159,1.5,-1.2,5.6
2017-12-09,159,3.4,-1.9,8.5
2017-12-10,159,6.7,3.9,10.8
2017-12-11,159,1.2,-3.2,5.7
2017-12-12,159,-2.7,-6.1,1.6
2017-12-13,159,-1.3,-5.8,4.5
2017-12-14,159,2.9,-3.4,9.8
2017-12-15,159,4.8,1,9.9
2017-12-16,159,1.9,-2.8,5.4
2017-12-17,159,-1.4,-5.4,2.8
2017-12-18,159,2.6,-3.2,7.5
2017-12-19,159,3.5,-1,7.6
2017-12-20,159,1.9,-2.9,8.2
2017-12-21,159,4.3,0.8,9.8
2017-12-22,159,5.1,0.4,10.6
2017-12-23,159,8,4,13.4
2017-12-24,159,8.8,4.2,13.4
2017-12-25,159,3.4,0.1,7.5
2017-12-26,159,3,-0.7,8.9
2017-12-27,159,-0.6,-4.5,3.7
2017-12-28,159,2,-1.5,6.2
2017-12-29,159,5.8,1.3,11.4
2017-12-30,159,6.9,2.6,12.6
2017-12-31,159,5.5,1.2,9.3
2018-01-01,159,2.7,-1.1,7.4
2018-01-02,159,4.1,-0.3,9.4
2018-01-03,159,2.6,-0.2,6.9
2018-01-04,159,2.8,-1.7,7.7
2018-01-05,159,4.1,0.7,9.7
2018-01-06,159,3.1,-0.8,8.5
2018-01-07,159,5.4,0.4,9.4
2018-01-08,159,5.8,4.3,7.4
2018-01-09,159,1.9,0.1,4.7
2018-01-10,159,-0.7,-4.8,2.5
2018-01-11,159,-4.6,-7.4,0
2018-01-12,159,-4.8,-9.4,0.1
2018-01-13,159,-0.2,-5.7,5.6
2018-01-14,159,3.5,-1.1,9.1
2018-01-15,159,9.3,4.2,14
2018-01-16,159,8.8,5.5,11
2018-01-17,159,6.4,5.4,8.3
2018-01-18,159,7.2,4.1,11.6
2018-01-19,159,6,1.8,11.9
2018-01-20,159,5.2,0.7,10.5
2018-01-21,159,6.5,2.1,11.5
2018-01-22,159,6.1,4.7,7.6
2018-01-23,159,-1.3,-5.4,6.1
2018-01-24,159,-6.7,-9.8,-2.2
2018-01-25,159,-5.1,-9.8,0.2
2018-01-26,159,-5.4,-9.9,0.3
2018-01-27,159,-1.4,-8.6,5.4
2018-01-28,159,1.4,-1,5.5
2018-01-29,159,-2.4,-6,2.4
2018-01-30,159,-2.1,-6.8,3
2018-01-31,159,1.9,-3.4,6.8
2018-02-01,159,3.3,-0.6,9.4
2018-02-02,159,2.6,-0.8,7.4
2018-02-03,159,-0.2,-4.8,4.3
2018-02-04,159,-4.7,-8,-0.2
2018-02-05,159,-4.4,-8,1.5
2018-02-06,159,-5.1,-8.9,0.5
2018-02-07,159,-3.5,-9.6,3.1
2018-02-08,159,0.8,-4.5,6.8
2018-02-09,159,6.1,0,10.9
2018-02-10,159,6.4,1.1,11.6
2018-02-11,159,-1.1,-4.6,3.5
2018-02-12,159,-0.8,-4,3.5
2018-02-13,159,1.8,-2.6,6.7
2018-02-14,159,8.5,1.9,12.9
2018-02-15,159,7.8,5.1,11.9
2018-02-16,159,6.6,3.6,11.6
2018-02-17,159,4.1,0.2,9.5
2018-02-18,159,4.8,0.1,9.9
2018-02-19,159,7,4.1,11.2
2018-02-20,159,8.3,3.2,13.8
2018-02-21,159,5.3,2.6,9.8
2018-02-22,159,4.2,0.2,8.9
2018-02-23,159,6.8,1.9,12.3
2018-02-24,159,8.6,5.5,14.7
2018-02-25,159,8.6,5.6,13.9
2018-02-26,159,7.5,3.2,11.9
2018-02-27,159,9.2,4.2,14.7
2018-02-28,159,9.6,7.6,12.3
2018-03-01,159,7.4,2.7,12
2018-03-02,159,4.9,-0.7,9.8
2018-03-03,159,9.6,4.1,16.4
2018-03-04,159,13.2,10.2,15.4
2018-03-05,159,6.5,3.4,13.4
2018-03-06,159,6.4,3.1,11.4
2018-03-07,159,7.2,5,9.7
2018-03-08,159,4.9,4.2,6.3
2018-03-09,159,4.8,2.2,9.4
2018-03-10,159,7.6,3.4,11.2
2018-03-11,159,9.7,4.3,15.6
2018-03-12,159,11.2,6,15.8
2018-03-13,159,13.3,9.7,17.3
2018-03-14,159,15.3,12.4,19
2018-03-15,159,14.3,10.1,15.6
2018-03-16,159,5.3,2.4,10.3
2018-03-17,159,6.6,2.3,10.8
2018-03-18,159,10.7,4.9,16.4
2018-03-19,159,9.6,5.4,12.8
2018-03-20,159,5.7,3,8.5
2018-03-21,159,2.9,1,4.4
2018-03-22,159,6.8,2,14.3
2018-03-23,159,9.6,4.7,15.6
2018-03-24,159,12.4,6.6,18.5
2018-03-25,159,13.9,8.8,19.4
2018-03-26,159,15.5,12.1,21.4
2018-03-27,159,16,11.4,21.1
2018-03-28,159,15.6,11.5,19.4
2018-03-29,159,15.1,11.2,22.3
2018-03-30,159,12.7,10.2,17.2
2018-03-31,159,14.1,9,18.3
2018-04-01,159,16.3,13.4,19.5
2018-04-02,159,17.9,15.3,21.3
2018-04-03,159,18.2,15.6,21.5
2018-04-04,159,11.1,8.5,17.6
2018-04-05,159,10.5,8.8,12.1
2018-04-06,159,10.7,6.6,16.4
2018-04-07,159,6.5,4.1,10.2
2018-04-08,159,8.8,3,11.9
2018-04-09,159,13.6,10.8,18.8
2018-04-10,159,14.9,9.6,18.3
2018-04-11,159,18.7,15.7,22.2
2018-04-12,159,16.3,13,21.3
2018-04-13,159,13.7,11.6,17.4
2018-04-14,159,12.5,11.1,16.4
2018-04-15,159,13.9,9.5,19.6
2018-04-16,159,12.8,8.5,16.7
2018-04-17,159,13.9,11,17.8
2018-04-18,159,15.3,12.1,19.8
2018-04-19,159,15.8,11.4,19.3
2018-04-20,159,18.8,14.5,23.9
2018-04-21,159,18.9,13.8,23.3
2018-04-22,159,17.1,13.5,22.4
2018-04-23,159,11.8,11,13.5
2018-04-24,159,12,10.6,14.7
2018-04-25,159,13.3,8,18.6
2018-04-26,159,14.5,9.3,18.1
2018-04-27,159,16,12.4,24.3
2018-04-28,159,16.5,11.1,20.7
2018-04-29,159,17.1,14.5,21.1
2018-04-30,159,19,15.2,22.7
2018-05-01,159,18.3,16.1,22.6
2018-05-02,159,15.2,13,17.5
2018-05-03,159,14.2,11.2,19.7
2018-05-04,159,14.8,10.2,18.5
2018-05-05,159,16.9,13.6,20.2
2018-05-06,159,16.2,14.8,17.6
2018-05-07,159,14.8,13.9,16.7
2018-05-08,159,14.2,12.7,15.6
2018-05-09,159,13.2,11.3,16.7
2018-05-10,159,14.3,9.8,18.3
2018-05-11,159,17.1,12.7,21.3
2018-05-12,159,17.8,16.3,18.9
2018-05-13,159,19.2,16.8,23.3
2018-05-14,159,20,16,23.1
2018-05-15,159,21.4,18.7,25.1
2018-05-16,159,20.7,19.6,21.6
2018-05-17,159,20.9,20,21.6
2018-05-18,159,16.3,12.9,20.9
2018-05-19,159,14.7,12.7,18.8
2018-05-20,159,15.4,12.3,19.6
2018-05-21,159,17.2,13.5,22.4
2018-05-22,159,18,14.1,22.4
2018-05-23,159,18.1,15,24.9
2018-05-24,159,19.4,14.1,23.8
2018-05-25,159,21.1,18.4,26
2018-05-26,159,20.5,17.4,26.6
2018-05-27,159,20.2,16.1,24.9
2018-05-28,159,19.5,17.7,21.3
2018-05-29,159,21,17.5,26.1
2018-05-30,159,21.9,18.6,26
2018-05-31,159,20.2,17.7,24
2018-06-01,159,21.6,17.4,25.4
2018-06-02,159,22.9,19.4,28.2
2018-06-03,159,21.3,18.4,25.1
2018-06-04,159,22.2,16.9,26.3
2018-06-05,159,19.7,18.7,21.9
2018-06-06,159,21.6,18.3,26
2018-06-07,159,21.8,18.8,25.5
2018-06-08,159,22.8,20.6,27.8
2018-06-09,159,21.2,18.7,24.7
2018-06-10,159,19.3,17,23.5
2018-06-11,159,17.2,15.5,21.2
2018-06-12,159,18.3,16.2,21.6
2018-06-13,159,19.6,17.4,23.1
2018-06-14,159,19.9,17.6,23.4
2018-06-15,159,19.3,17.1,23.6
2018-06-16,159,18.5,16.2,22.9
2018-06-17,159,20.9,15.1,25.9
2018-06-18,159,22.8,19.8,26.2
2018-06-19,159,21.6,19.8,26.4
2018-06-20,159,22.8,19.4,27
2018-06-21,159,24.7,21,30.3
2018-06-22,159,24,20.8,27.5
2018-06-23,159,23,20.8,26.7
2018-06-24,159,24.7,21.1,31.3
2018-06-25,159,23.3,20.8,26.5
2018-06-26,159,22.8,21,24.1
2018-06-27,159,23.1,22.2,25.1
2018-06-28,159,21.2,18.5,22.6
2018-06-29,159,22.2,21.2,24.3
2018-06-30,159,21,19.8,23
2018-07-01,159,24.5,19.8,28.5
2018-07-02,159,25.4,22.9,29.4
2018-07-03,159,22.7,22.1,24.4
2018-07-04,159,25,22.2,29.5
2018-07-05,159,22.9,21.7,25.8
2018-07-06,159,20.8,19.3,21.7
2018-07-07,159,20,18.6,22.7
2018-07-08,159,19.7,17.8,23.4
2018-07-09,159,20,18.4,22.3
2018-07-10,159,24,19.5,28.7
2018-07-11,159,26.6,22.6,30.3
2018-07-12,159,27.4,25.1,30.3
2018-07-13,159,27,24.8,29.9
2018-07-14,159,27.6,24.8,31
2018-07-15,159,27.2,23.6,30.6
2018-07-16,159,27.1,23.4,30.8
2018-07-17,159,27.6,24.7,30.8
2018-07-18,159,28.1,25.2,32.3
2018-07-19,159,29.1,25.7,32.2
2018-07-20,159,29.6,26,33.7
2018-07-21,159,29.2,26.8,32.6
2018-07-22,159,29.7,26.9,33.2
2018-07-23,159,29.5,27.5,33
2018-07-24,159,29.3,26.7,32.6
2018-07-25,159,29.6,26.5,33.1
2018-07-26,159,30.4,27.8,34
2018-07-27,159,29.8,27.5,33.3
2018-07-28,159,29.3,26.9,32.5
2018-07-29,159,29.3,25.5,35.4
2018-07-30,159,28.9,25.5,33.2
2018-07-31,159,29.8,26.3,33.9
2018-08-01,159,30.3,27.1,34.6
2018-08-02,159,30,27.1,33.6
2018-08-03,159,29.9,27.3,33.4
2018-08-04,159,30.1,27.2,33.8
2018-08-05,159,31.3,28.1,36.4
2018-08-06,159,29.9,28,33.5
2018-08-07,159,28.4,26.1,32.2
2018-08-08,159,27.9,24.9,31.7
2018-08-09,159,28.4,25.1,32.8
2018-08-10,159,26.7,25.9,28.2
2018-08-11,159,27.3,24.6,31.5
2018-08-12,159,28.8,26.3,32.7
2018-08-13,159,30.9,27.3,34.9
2018-08-14,159,29.9,27.5,33.7
2018-08-15,159,28.6,25.6,34
2018-08-16,159,26.2,23.7,28.1
2018-08-17,159,25.2,23.2,28.8
2018-08-18,159,25,22.2,28.9
2018-08-19,159,25.3,21.2,30
2018-08-20,159,26.2,22.6,29.7
2018-08-21,159,28.6,24.1,32.9
2018-08-22,159,29.8,27.5,32.6
2018-08-23,159,28,26.3,30
2018-08-24,159,26.7,25.1,30
2018-08-25,159,25.7,24.6,28
2018-08-26,159,25.9,23.9,29.1
2018-08-27,159,26,23.9,27.1
2018-08-28,159,27.1,25.5,30.5
2018-08-29,159,27.3,24.7,30.2
2018-08-30,159,27.5,25.4,30.2
2018-08-31,159,26,23.7,28
2018-09-01,159,21.6,19.3,24.6
2018-09-02,159,22.8,20.9,26
2018-09-03,159,24.7,22.4,26.6
2018-09-04,159,25.1,21.6,30
2018-09-05,159,24.3,19.7,28.1
2018-09-06,159,23.8,21.7,26.3
2018-09-07,159,21.7,19.8,24
2018-09-08,159,21.3,19.2,23.9
2018-09-09,159,22.3,20.6,26.5
2018-09-10,159,21.5,19,26
2018-09-11,159,21.2,18.4,25.8
2018-09-12,159,23.2,19.7,28.1
2018-09-13,159,21.8,20.7,23.2
2018-09-14,159,21.8,20.5,23
2018-09-15,159,22.6,20.8,25.1
2018-09-16,159,24.9,22,28.1
2018-09-17,159,23.8,21.7,27.7
2018-09-18,159,24,21.7,28
2018-09-19,159,23.2,20.9,26.2
2018-09-20,159,20.6,20.1,21.6
2018-09-21,159,20.7,19.3,21.9
2018-09-22,159,22.4,19.1,27.5
2018-09-23,159,22.3,19.2,26.9
2018-09-24,159,19.6,16.8,22
2018-09-25,159,19.8,14.9,25.5
2018-09-26,159,20,17.3,24.2
2018-09-27,159,19.6,17,23.8
2018-09-28,159,19.9,16.8,24.8
2018-09-29,159,18,17.2,19.1
2018-09-30,159,19.6,15.9,25.2
2018-10-01,159,17.9,15.2,22.4
2018-10-02,159,17.3,14,22.3
2018-10-03,159,18.6,14.5,24.6
2018-10-04,159,20.1,16.4,25
2018-10-05,159,19.5,18.1,20.3
2018-10-06,159,21.6,19.2,23.6
2018-10-07,159,20.8,18.2,25.6
2018-10-08,159,18.6,15.5,23.7
2018-10-09,159,18.1,15.5,21.1
2018-10-10,159,17.1,12.6,20.9
2018-10-11,159,13.3,10.6,17.5
2018-10-12,159,13.9,9.5,18.5
2018-10-13,159,16.1,11.7,21.5
2018-10-14,159,17.1,12.8,22.1
2018-10-15,159,17.2,14.9,22.5
2018-10-16,159,16.1,13.9,20.2
2018-10-17,159,16.5,12.8,21.6
2018-10-18,159,15.9,12.1,20.8
2018-10-19,159,15.5,11.4,21.6
2018-10-20,159,15.5,10.8,21.4
2018-10-21,159,16.2,11.3,22.2
2018-10-22,159,17.1,13.1,22.8
2018-10-23,159,18,15.7,22.7
2018-10-24,159,15.7,12.5,21.9
2018-10-25,159,16.5,12.2,22.4
2018-10-26,159,15.9,13.6,19
2018-10-27,159,13,9.6,16
2018-10-28,159,13.8,8.1,18.3
2018-10-29,159,14.4,10.6,19.4
2018-10-30,159,10.8,8,15.4
2018-10-31,159,11.6,7.9,16.5
2018-11-01,159,11.5,7.9,17.8
